,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
3,3,odp1209,KM2,3.67625,0.0765203054284098,8,-0.19625,0.1399936223037117,8,0,3.795203431372549,-0.32612009803921566,#DF2020
19,19,odp1148,KM2,3.1672,0.3590733908270008,5,-0.3716,0.6109691481572536,5,1,3.3205380928595214,-0.36903811188811186,#81DF20
35,35,odp1125,KM2,2.817333333333333,0.0988119907896279,15,-0.7546666666666667,0.1374183740400443,15,2,2.7666666666666666,-0.4218333333333334,#2095DF
43,43,odp1210,KM2,3.64175,0.0802968451019922,4,-0.32975,0.0863727387547714,4,0,3.795203431372549,-0.32612009803921566,#DF2020
51,51,odp1208,KM2,3.481904761904762,0.147431985933143,21,-0.296,0.1594200013866053,20,1,3.3205380928595214,-0.36903811188811186,#81DF20
59,59,odp1239,KM2,3.265384615384616,0.1366025490620742,13,-0.4823076923076922,0.1600080126198813,13,1,3.3205380928595214,-0.36903811188811186,#81DF20
67,67,dsdp594,KM2,3.34375,0.1579274245613199,8,-0.36875,0.2690957078810437,8,1,3.3205380928595214,-0.36903811188811186,#81DF20
75,75,odp1143,KM2,3.3501,0.1367921781389564,10,-0.3951999999999999,0.2281684562871135,10,1,3.3205380928595214,-0.36903811188811186,#81DF20
83,83,odp1241,KM2,3.3127272727272725,0.1038355342925445,11,-0.4509090909090909,0.1200378728114211,11,1,3.3205380928595214,-0.36903811188811186,#81DF20
99,99,iodpU1338,KM2,3.3227,0.2263394942705904,10,-0.2185,0.267509605227343,10,1,3.3205380928595214,-0.36903811188811186,#81DF20
107,107,odp806,KM2,2.716,0.0969765149118303,10,-0.089,0.0883742043811428,10,2,2.7666666666666666,-0.4218333333333334,#2095DF
115,115,odp849,KM2,4.04875,0.1030169888901826,8,-0.44625,0.1047360628300627,8,0,3.795203431372549,-0.32612009803921566,#DF2020
123,123,odp1123,KM2,3.904,0.1068456831135448,4,-0.289,0.0330252428706688,4,0,3.795203431372549,-0.32612009803921566,#DF2020
139,139,odp846,KM2,3.5964705882352943,0.2584797181712375,17,-0.4064705882352941,0.1977353400530172,17,0,3.795203431372549,-0.32612009803921566,#DF2020
147,147,odp1123,KM2,3.904,0.1068456831135448,4,-0.289,0.0330252428706688,4,0,3.795203431372549,-0.32612009803921566,#DF2020
