,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,predicted_cluster
1,1,odp1209,mPWP,3.5334177215189877,0.1573326223035001,79,0.0054430379746835,0.1804182993472955,79,0
5,5,odp1018,mPWP,2.69,0.2516611478423583,7,-0.18,0.1703917055884274,7,2
9,9,odp1148,mPWP,3.011,0.5426551759635211,26,-0.3488461538461538,0.5004908544465277,26,2
13,13,odp1014,mPWP,1.938,0.1162181856108012,10,-0.191,0.1454074734438823,10,2
17,17,odp1125,mPWP,2.823020134228188,0.1593343615830023,149,-0.6484027777777778,0.1789974535680281,144,2
21,21,odp1210,mPWP,3.5262641509433967,0.1636103662955419,53,-0.0189615384615384,0.2283803983157084,52,0
25,25,odp1208,mPWP,3.339627906976744,0.2200718896195944,215,-0.0859047619047619,0.2431578345706774,210,0
29,29,odp1239,mPWP,3.136078431372549,0.2643418721788073,153,-0.3297385620915032,0.233407109079761,153,2
33,33,dsdp594,mPWP,3.3495454545454546,0.1675236067832712,88,0.0780681818181818,0.4510775297291379,88,0
37,37,odp1143,mPWP,3.20200847457627,0.2198237637450849,118,-0.0020508474576271,0.3807279542799764,118,0
41,41,odp1241,mPWP,3.298227777777778,0.2080513544143799,90,-0.1956179775280898,0.1971441273430764,89,0
45,45,dsdp586,mPWP,3.106666666666667,0.1662127151173057,6,0.03,0.1102723900167217,6,0
49,49,iodpU1338,mPWP,3.3219387755102034,0.1685739709251383,49,-0.1224897959183673,0.2771510660909933,49,0
53,53,odp806,mPWP,2.678314606741573,0.1603776505843188,89,0.1215730337078651,0.2025401131785352,89,2
57,57,odp849,mPWP,3.816333333333333,0.2205531860236178,90,-0.0026666666666666,0.3412100081517559,90,0
61,61,odp1123,mPWP,3.483229411764706,0.2293417930801564,85,0.2297450980352941,0.2349398332685388,85,0
65,65,dsdp593,mPWP,2.034666131904762,0.1681961561145082,21,0.8186666666666667,0.100028162700978,21,1
69,69,odp846,mPWP,3.2796774193548384,0.2563183217945901,124,-0.1874193548387096,0.2673108204773908,124,0
73,73,odp1123,mPWP,3.483229411764706,0.2293417930801564,85,0.2297450980352941,0.2349398332685388,85,0
