,Site,name,latitude,longitude,depth
0,h4_odp1209,ODP 1209,32.6517,158.5059,2387.0
1,h1_odp1018,ODP 1018,36.9833,-123.2833,2467.0
2,h6_odp1148,ODP 1148,18.8361,116.5655,3297.0
3,h3_odp1014,ODP 1014,32.8167,-119.9667,1177.0
4,h15_odp1125,ODP 1125,-42.5498,-178.1665,1365.1
5,h5_odp1210,ODP 1210,32.2235,158.2594,2573.5
6,h2_odp1208,ODP 1208,36.1272,158.2016,3345.7
7,h12_odp1239,ODP 1239,-0.672,-82.081,1413.8
8,h16_dsdp594,DSDP 594,-45.5235,174.948,1204.0
9,h7_odp1143,ODP 1143,9.362,113.285,2772.3
10,h8_odp1241,ODP 1241,5.8428,-86.4445,2026.8
11,h11_dsdp586,DSDP 586,-0.4973,158.4982,2207.0
12,h9_odp806,ODP 806,0.319,159.361,2520.5
13,h10_odp849,ODP 849,0.1831,-110.5197,3839.1
14,h14_dsdp593,DSDP 593,-40.5078,167.674,1068.0
15,h13_odp846,ODP 846,-3.0949,-90.818,3295.8
16,iodpU1338,IODP U1338,2.5078,-117.96991,4210.8
17,mp1_odp1123,ODP 1123,-41.786,-171.499,3290.0
18,odp1123,ODP 1123,-41.786,-171.499,3290.0
19,odp1209,ODP 1209,32.6517,158.5059,2387.0
20,odp1018,ODP 1018,36.9833,-123.2833,2467.0
21,odp1148,ODP 1148,18.8361,116.5655,3297.0
22,odp1014,ODP 1014,32.8167,-119.9667,1177.0
23,odp1125,ODP 1125,-42.5498,-178.1665,1365.1
24,odp1210,ODP 1210,32.2235,158.2594,2573.5
25,odp1208,ODP 1208,36.1272,158.2016,3345.7
26,odp1239,ODP 1239,-0.672,-82.081,1413.8
27,dsdp594,DSDP 594,-45.5235,174.948,1204.0
28,odp1143,ODP 1143,9.362,113.285,2772.3
29,odp1241,ODP 1241,5.8428,-86.4445,2026.8
30,dsdp586,DSDP 586,-0.4973,158.4982,2207.0
31,odp806,ODP 806,0.319,159.361,2520.5
32,odp849,ODP 849,0.1831,-110.5197,3839.1
33,dsdp593,DSDP 593,-40.5078,167.674,1068.0
34,odp846,ODP 846,-3.0949,-90.818,3295.8
